Países,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1
Filipinas [+],62.962,,87.723,,"49,81%",688 €,958 $
Pakistán [+],73.270,,102.085,,"54,57%",434 €,605 $
Polonia [+],166.574,,219.156,,"49,70%",4.381 €,5.764 $
Estado de Palestina [+],1.391,,1.938,,"23,96%",355 €,494 $
Palaos [+],48,,67,,"36,60%",2.672 €,3.722 $
Paraguay [+],2.397,,3.340,,"14,94%",426 €,593 $
Catar [+],22.776,,31.733,,"35,98%",13.896 €,19.361 $
Rumanía [+],27.288,,39.193,,"21,80%",1.345 €,1.931 $
Serbia [+],11.908,,16.590,,"35,34%",1.630 €,2.271 $
Rusia [+],93.107,,129.723,,"9,92%",656 €,914 $
Ruanda [+],753,,1.049,,"18,72%",78 €,108 $
Arabia Saudita [+],43.083,,60.027,,"13,99%",1.891 €,2.635 $
Islas Salomón [+],100,,139,,"17,24%",181 €,252 $
Seychelles [+],645,,899,,"106,13%",7.249 €,10.100 $
Sudán [+],27.930,,38.914,,"71,00%",714 €,995 $
Suecia [+],133.914,,178.865,,"41,30%",14.337 €,19.149 $
Singapur [+],148.267,,206.575,,"101,69%",29.725 €,41.414 $
Eslovenia [+],12.519,,17.442,,"34,90%",6.116 €,8.521 $
Eslovaquia [+],23.321,,32.492,,"36,40%",4.326 €,6.028 $
Sierra Leona [+],846,,1.179,,"31,07%",140 €,195 $
San Marino [+],297,,414,,"20,07%",9.581 €,13.348 $
Senegal [+],3.465,,4.828,,"29,94%",281 €,391 $
Surinam [+],436,,608,,"14,65%",827 €,1.152 $
Santo Tomé y Príncipe [+],101,,141,,"70,32%",570 €,794 $
El Salvador [+],8.310,,11.578,,"65,78%",1.374 €,1.914 $
Siria [+],12.083,,16.835,,"31,21%",573 €,798 $
Eswatini [+],271,,377,,"10,61%",265 €,369 $
Chad [+],2.108,,2.937,,"23,87%",182 €,254 $
Togo [+],1.952,,2.719,,"57,65%",298 €,415 $
Tailandia [+],83.776,,116.722,,"42,36%",1.230 €,1.713 $
Tayikistán [+],1.320,,1.838,,"36,94%",177 €,246 $
Timor Oriental [+],0,,0,,0%,0 €,0 $
Turkmenistán [+],417,,581,,"3,09%",81 €,112 $
Túnez [+],13.188,,18.374,,"40,30%",1.238 €,1.725 $
Tonga [+],89,,124,,"39,73%",864 €,1.203 $
Türkiye [+],203.897,,278.041,,"46,10%",2.810 €,3.832 $
Trinidad y Tobago [+],5.309,,7.396,,"34,17%",4.019 €,5.599 $
Tuvalu [+],4,,5,,"20,56%",391 €,544 $
Taiwan [+],102.978,,143.476,,"36,71%",4.454 €,6.206 $
Tanzania [+],5.032,,7.011,,"23,93%",120 €,167 $
Ucrania [+],29.768,,41.475,,"34,12%",650 €,906 $
Uganda [+],2.560,,3.566,,"14,79%",87 €,121 $
Uruguay [+],11.456,,15.961,,"46,18%",3.391 €,4.725 $
Uzbekistán [+],2.198,,3.062,,"6,57%",80 €,111 $
San Vicente y las Granadinas [+],293,,409,,"57,25%",2.691 €,3.749 $
Venezuela [+],27.543,,38.375,,"27,57%",980 €,1.365 $
Viet Nam [+],33.495,,46.668,,"36,17%",385 €,536 $
Vanuatu [+],89,,125,,"19,10%",382 €,532 $
Samoa [+],148,,206,,"33,26%",802 €,1.117 $
Yemen [+],8.990,,12.525,,"49,84%",347 €,483 $
Sudáfrica [+],64.167,,89.402,,"27,00%",1.264 €,1.760 $
Zambia [+],2.258,,3.146,,"20,52%",167 €,233 $
Zimbabue [+],3.417,,2,,"39,74%",279 €,0 $
