Países,Fecha,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1
Níger [+],2011,928,,1.291,,"14,75%",54 €,75 $
Nigeria [+],2011,52.597,,73.199,,"12,38%",307 €,427 $
Nicaragua [+],2011,2.022,,2.814,,"28,79%",337 €,469 $
Países Bajos [+],2011,401.579,,558.442,,"61,20%",24.003 €,33.379 $
Noruega [+],2011,98.943,,148.457,,"27,50%",19.845 €,29.776 $
Nepal [+],2011,5.052,,7.031,,"32,43%",184 €,256 $
Nauru [+],2011,118,,164,,"236,82%",11.794 €,16.414 $
Nueva Zelanda [+],2011,41.653,,57.969,,"34,68%",9.497 €,13.217 $
Omán [+],2011,2.474,,3.443,,"4,44%",751 €,1.045 $
Panamá [+],2011,9.207,,12.814,,"35,91%",2.472 €,3.441 $
Perú [+],2011,28.355,,39.462,,"23,11%",981 €,1.365 $
Papúa Nueva Guinea [+],2011,2.104,,2.927,,"16,28%",290 €,404 $
Filipinas [+],2011,76.462,,106.413,,"45,43%",807 €,1.124 $
Pakistán [+],2011,93.031,,129.472,,"56,15%",525 €,731 $
Polonia [+],2011,192.177,,289.156,,"54,80%",5.049 €,7.597 $
Estado de Palestina [+],2011,2.113,,2.940,,"26,29%",512 €,713 $
Palaos [+],2011,43,,60,,"30,59%",2.395 €,3.333 $
Paraguay [+],2011,2.679,,3.729,,"11,05%",469 €,653 $
Catar [+],2011,40.354,,56.161,,"33,47%",23.286 €,32.407 $
Rumanía [+],2011,43.934,,62.863,,"32,30%",2.186 €,3.128 $
Serbia [+],2011,16.939,,23.574,,"45,98%",2.347 €,3.267 $
Rusia [+],2011,152.060,,211.624,,"10,34%",1.063 €,1.479 $
Ruanda [+],2011,926,,1.289,,"18,94%",91 €,126 $
Arabia Saudita [+],2011,25.963,,36.133,,"5,31%",1.035 €,1.440 $
Islas Salomón [+],2011,138,,193,,"18,10%",237 €,330 $
Seychelles [+],2011,604,,840,,"82,51%",6.560 €,9.130 $
Sudán [+],2011,37.296,,51.905,,"78,11%",1.142 €,1.589 $
Suecia [+],2011,157.124,,214.983,,"37,80%",16.569 €,22.671 $
Singapur [+],2011,209.758,,291.923,,"103,13%",40.463 €,56.312 $
Eslovenia [+],2011,17.220,,23.965,,"46,80%",8.377 €,11.659 $
Eslovaquia [+],2011,30.994,,43.135,,"43,30%",5.735 €,7.982 $
Sierra Leona [+],2011,889,,1.237,,"25,77%",139 €,194 $
San Marino [+],2011,217,,302,,"16,62%",6.502 €,9.046 $
Senegal [+],2011,4.208,,5.856,,"32,88%",323 €,449 $
Surinam [+],2011,638,,887,,"18,74%",1.179 €,1.640 $
Sudán del Sur [+],2011,0,,0,,0%,0 €,0 $
Santo Tomé y Príncipe [+],2011,141,,196,,"86,02%",757 €,1.054 $
El Salvador [+],2011,9.561,,13.306,,"65,60%",1.570 €,2.185 $
Siria [+],2009,12.083,,16.835,,"31,21%",573 €,798 $
Eswatini [+],2011,509,,709,,"14,59%",493 €,687 $
Chad [+],2011,2.676,,3.724,,"22,32%",216 €,301 $
Togo [+],2011,1.440,,2.005,,"36,98%",208 €,290 $
Tailandia [+],2011,104.825,,145.886,,"39,12%",1.519 €,2.114 $
Tayikistán [+],2011,1.664,,2.316,,"35,51%",213 €,296 $
Timor Oriental [+],2011,0,,0,,0%,0 €,0 $
Turkmenistán [+],2011,2.945,,4.099,,"14,76%",549 €,765 $
Túnez [+],2011,14.985,,20.854,,"43,34%",1.377 €,1.916 $
Tonga [+],2011,155,,215,,"51,85%",1.503 €,2.092 $
Türkiye [+],2011,210.712,,293.250,,"34,77%",2.820 €,3.924 $
Trinidad y Tobago [+],2011,7.031,,9.785,,"39,23%",5.263 €,7.324 $
Tuvalu [+],2011,5,,7,,"19,09%",481 €,670 $
Taiwan [+],2011,133.338,,185.568,,"38,34%",5.741 €,7.990 $
Tanzania [+],2011,7.021,,9.771,,"28,43%",159 €,222 $
Ucrania [+],2011,43.205,,60.129,,"35,53%",951 €,1.323 $
Uganda [+],2011,3.549,,4.939,,"17,96%",113 €,157 $
Uruguay [+],2011,15.521,,21.600,,"41,26%",4.548 €,6.329 $
Uzbekistán [+],2011,2.739,,3.812,,"5,65%",94 €,131 $
San Vicente y las Granadinas [+],2011,328,,457,,"63,99%",3.012 €,4.191 $
Venezuela [+],2011,64.973,,90.423,,"52,48%",2.226 €,3.098 $
Viet Nam [+],2011,44.557,,62.010,,"36,19%",507 €,706 $
Vanuatu [+],2011,113,,157,,"19,25%",461 €,641 $
Samoa [+],2011,222,,309,,"41,53%",1.188 €,1.653 $
Yemen [+],2011,10.752,,14.964,,"45,73%",390 €,543 $
Sudáfrica [+],2011,114.510,,159.365,,"34,74%",2.190 €,3.048 $
Zambia [+],2011,3.507,,4.880,,"20,81%",243 €,338 $
Zimbabue [+],2011,3.617,,2,,"30,02%",290 €,0 $
