Country,Year,PIB anual (M€)
Mongolia,2010,5415
Mauritania,2010,4249
Malta,2010,6862
Mauricio,2010,7641
Maldivas,2010,1951
Malaui,2010,7383
México,2010,833151
Malasia,2010,194936
Mozambique,2010,8601
Namibia,2010,8502
Níger,2010,5907
Nigeria,2010,397053
Nicaragua,2010,6602
Netherlands,2010,643022
Norway,2010,332350
Nepal,2010,13757
Nauru,2010,38
Nueva Zelanda,2010,109845
Omán,2010,48986
Panamá,2010,22785
Perú,2010,112502
Papúa Nueva Guinea,2010,10741
Filipinas,2010,157046
Pakistán,2010,148261
Poland,2010,360891
Estado de Palestina,2010,7297
Palaos,2010,139
Paraguay,2010,20447
Catar,2010,90222
Rumanía,2010,128305
Serbia,2010,32841
Rusia,2010,1230865
Ruanda,2010,4561
Saudi Arabia,2010,398106
Islas Salomón,2010,677
Seychelles,2010,731
Sudán,2010,49530
Sweden,2010,372382
Singapore,2010,180742
Eslovenia,2010,36051
Eslovaquia,2010,68727
Sierra Leona,2010,3146
San Marino,2010,1419
Senegal,2010,12160
Somalia,2010,2027
Surinam,2010,3525
Sudán del Sur,2010,10902
Santo Tomé y Príncipe,2010,144
El Salvador,2010,13904
Siria,2010,45254
Eswatini,2010,3248
Chad,2010,10604
Togo,2010,3580
Thailand,2010,257089
Tayikistán,2010,4252
Timor Oriental,2010,665
Turkmenistán,2010,16070
Túnez,2010,34828
Tonga,2010,277
Türkiye,2010,589055
Trinidad y Tobago,2010,16975
Tuvalu,2010,25
Taiwan,2010,334852
Tanzania,2010,24013
Ucrania,2010,102271
Uganda,2010,18603
Uruguay,2010,33138
Uzbekistán,2010,41868
San Vicente y las Granadinas,2010,543
Venezuela,2010,239886
Viet Nam,2010,107995
Vanuatu,2010,543
Samoa,2010,513
Yemen,2010,23294
RSA,2010,314528
Zambia,2010,15273
Zimbabue,2010,13013
Spain,2011,1068690
Germany,2011,2746910
United Kingdom,2011,1912869
France,2011,2062141
Italy,2011,1657362
Portugal,2011,176318
Zona Euro,2011,9824849
USA,2011,11209034
Japan,2011,4247574
China,2011,5481302
Andorra,2011,2607
United Arab Emirates,2011,265056
Afganistán,2011,12855
Antigua y Barbuda,2011,925
Albania,2011,9328
Armenia,2011,7287
Angola,2011,90214
Argentina,2011,379134
Austria,2011,308167
Australia,2011,1092498
Azerbaiyán,2011,47389
Bosnia y Herzegovina,2011,13412
Barbados,2011,3997
Bangladés,2011,110725
Belgium,2011,378745
Burkina Faso,2011,8679
Bulgaria,2011,41479
Bahrain,2011,21495
Burundi,2011,1607
Benin,2011,7682
Brunéi,2011,13310
Bolivia,2011,20058
Brazil,2011,1878284
Bahamas,2011,7236
Bután,2011,1351
Botsuana,2011,10858
Bielorrusia,2011,44095
Belice,2011,1316
Canada,2011,1288578
República Democrática del Congo,2011,18974
República Centroafricana,2011,1752
República del Congo,2011,11247
Switzerland,2011,523943
Costa de Marfil,2011,25529
Chile,2011,180515
Camerún,2011,22006
Colombia,2011,240687
Costa Rica,2011,30726
Cuba,2011,49563
Cabo Verde,2011,1471
Cyprus,2011,19858
Czech Republic,2011,166546
Yibuti,2011,1250
Denmark,2011,248105
Dominica,2011,360
República Dominicana,2011,41680
Argelia,2011,156880
Ecuador,2011,56755
Estonia,2011,16742
Egipto,2011,178001
Eritrea,2011,1484
Etiopía,2011,21901
Finland,2011,197655
Fiyi,2011,2942
Estados Federados de Micronesia,2011,221
Gabón,2011,13082
Granada,2011,560
Georgia,2011,11119
Ghana,2011,38532
Gambia,2011,1013
Guinea,2011,4868
Guinea Ecuatorial,2011,15344
Greece,2011,203475
Guatemala,2011,34072
Guinea-Bisáu,2011,831
Guyana,2011,2391
Hong Kong,2011,178567
Honduras,2011,12725
Croacia,2011,45759
Haití,2011,9347
Hungría,2011,101987
Indonesia,2011,641634
EIRE,2011,173004
Israel,2011,192381
India,2011,1309937
Irak,2011,133469
Irán,2011,518880
Iceland,2011,11058
Jamaica,2011,10625
Jordania,2011,23453
Kenia,2011,33452
Kirguistán,2011,4454
Camboya,2011,11536
Kiribati,2011,141
Comoras,2011,735
San Cristóbal y Nieves,2011,601
Corea del Norte,2011,11271
Korea,2011,939304
Kuwait,2011,110670
Kazajistán,2011,138410
Laos,2011,6441
Lebanon,2011,28689
Santa Lucía,2011,1127
Liechtenstein,2011,4182
Sri Lanka,2011,48663
Liberia,2011,1681
Lesoto,2011,1847
Lithuania,2011,31066
Luxemburgo,2011,44324
Letonia,2011,19023
Libia,2011,34612
Marruecos,2011,78827
Mónaco,2011,4374
Moldavia,2011,6048
Montenegro,2011,3238
Madagascar,2011,8301
Islas Marshall,2011,124
Macedonia del Norte,2011,7544
Malí,2011,11109
Myanmar,2011,38262
Mongolia,2011,7480
Mauritania,2011,4873
Malta,2011,7033
Mauricio,2011,8388
Maldivas,2011,1889
Malaui,2011,8077
México,2011,883096
Malasia,2011,217131
Mozambique,2011,10504
Namibia,2011,8926
Níger,2011,6290
Nigeria,2011,424921
Nicaragua,2011,7023
Netherlands,2011,656013
Norway,2011,368828
Nepal,2011,15582
Nauru,2011,50
Nueva Zelanda,2011,120105
Omán,2011,55685
Panamá,2011,25643
Perú,2011,122707
Papúa Nueva Guinea,2011,12923
Filipinas,2011,168294
Pakistán,2011,165679
Poland,2011,379541
Estado de Palestina,2011,8038
Palaos,2011,140
Paraguay,2011,24241
Catar,2011,120553
Rumanía,2011,138528
Serbia,2011,36865
Rusia,2011,1470580
Ruanda,2011,4888
Saudi Arabia,2011,489082
