Country,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,Year
Indonesia,150035,26.36,631,2010
EIRE,144227,86.2,31553,2010
Israel,124537,69.03,16341,2010
India,854671,67.68,687,2010
Irak,55888,53.53,1805,2010
Irán,57603,12.77,777,2010
Iceland,9286,93.0,29160,2010
Jamaica,14293,137.82,5301,2010
Jordania,12156,53.4,1754,2010
Kenia,12558,36.7,325,2010
Kirguistán,2157,59.7,398,2010
Camboya,2433,23.53,168,2010
Kiribati,12,9.43,115,2010
Comoras,207,30.15,315,2010
San Cristóbal y Nieves,792,134.9,16846,2010
Korea,254174,28.28,5129,2010
Kuwait,5359,6.16,1827,2010
Kazajistán,11920,10.68,730,2010
Laos,2790,49.32,441,2010
Lebanon,39646,136.83,7936,2010
Santa Lucía,592,52.23,3462,2010
Sri Lanka,30378,68.73,1499,2010
Liberia,379,25.4,97,2010
Lesoto,600,33.81,301,2010
Lithuania,10154,36.7,3326,2010
Luxemburgo,8095,19.1,15815,2010
Letonia,8538,48.6,4115,2010
Libia,1614,2.86,248,2010
Marruecos,34425,45.28,1070,2010
Moldavia,1340,25.48,376,2010
Montenegro,1407,45.07,2270,2010
Madagascar,2433,32.34,120,2010
Islas Marshall,47,38.83,896,2010
Macedonia del Norte,1722,24.27,837,2010
Malí,2039,21.75,128,2010
Myanmar,15516,54.39,316,2010
Mongolia,1677,30.98,608,2010
Mauritania,1867,43.95,568,2010
Malta,4463,65.0,10753,2010
Mauricio,4309,54.39,3447,2010
Maldivas,1029,52.75,3215,2010
Malaui,1426,19.31,91,2010
México,334554,40.16,2915,2010
Malasia,99831,51.21,3492,2010
Mozambique,3316,38.55,141,2010
Namibia,1388,16.33,663,2010
Níger,891,15.08,54,2010
Nigeria,26484,6.67,159,2010
Nicaragua,2003,30.35,344,2010
Netherlands,379043,58.9,22757,2010
Norway,138311,41.7,28110,2010
Nepal,4869,35.39,178,2010
Nauru,112,298.89,11236,2010
Nueva Zelanda,32514,29.6,7469,2010
Omán,2676,5.46,892,2010
Panamá,8764,38.46,2393,2010
Perú,28246,25.11,984,2010
Papúa Nueva Guinea,1857,17.29,276,2010
Filipinas,74733,47.59,802,2010
Pakistán,84088,56.72,486,2010
Poland,194932,53.7,5121,2010
Estado de Palestina,1658,22.72,412,2010
Palaos,47,34.46,2638,2010
Paraguay,2653,12.98,468,2010
Catar,27450,30.43,16006,2010
Rumanía,36725,29.0,1818,2010
Serbia,13779,42.45,1900,2010
Rusia,124382,10.11,871,2010
Ruanda,868,19.04,87,2010
Saudi Arabia,33544,8.43,1399,2010
Islas Salomón,146,21.64,258,2010
Seychelles,601,82.22,6680,2010
Sudán,36933,74.57,920,2010
Sweden,153348,38.7,16287,2010
Singapore,183054,98.67,36056,2010
Eslovenia,13918,38.6,6789,2010
Eslovaquia,27940,40.7,5181,2010
Sierra Leona,910,28.94,146,2010
San Marino,283,19.96,8882,2010
Senegal,4207,34.6,332,2010
Surinam,610,17.32,1139,2010
Santo Tomé y Príncipe,119,82.99,656,2010
El Salvador,9287,66.79,1530,2010
Siria,12083,31.21,573,2009
Eswatini,472,14.25,459,2010
Chad,2424,22.86,203,2010
Togo,1198,33.45,178,2010
Thailand,100624,39.83,1467,2010
Tayikistán,1567,36.84,205,2010
Timor Oriental,0,0.0,0,2010
Turkmenistán,1131,7.04,215,2010
Túnez,13514,38.8,1255,2010
Tonga,124,44.73,1202,2010
Türkiye,225106,42.4,3053,2010
Trinidad y Tobago,4734,28.9,3565,2010
Tuvalu,5,21.05,497,2010
Taiwan,123526,36.89,5333,2010
Tanzania,6630,27.61,155,2010
Ucrania,41646,39.13,913,2010
Uganda,3415,18.36,112,2010
Uruguay,13538,40.85,3985,2010
Uzbekistán,2479,5.92,89,2010
San Vicente y las Granadinas,331,61.1,3041,2010
Venezuela,71966,37.71,2523,2010
Viet Nam,40268,37.29,458,2010
Vanuatu,99,18.28,414,2010
Samoa,206,40.28,1110,2010
Yemen,9872,42.38,369,2010
RSA,98087,31.19,1904,2010
Zambia,2886,18.9,207,2010
Zimbabue,3718,33.19,301,2010
Spain,743043,69.5,15871,2011
Germany,2155876,78.5,26838,2011
United Kingdom,1589482,80.0,25032,2011
France,1830136,88.7,28036,2011
Italy,1974408,119.1,32849,2011
Portugal,201044,114.0,19040,2011
USA,11212081,100.03,35975,2011
Japan,8598289,190.56,67263,2011
China,1818920,33.18,1350,2011
Andorra,951,36.49,13636,2011
United Arab Emirates,54090,20.41,7467,2011
Afganistán,964,7.5,33,2011
Antigua y Barbuda,750,81.13,8724,2011
Albania,5507,59.41,1897,2011
Armenia,3077,42.22,940,2011
Angola,23742,26.32,980,2011
Argentina,147615,38.94,3578,2011
Austria,256876,83.4,30551,2011
Australia,261789,23.96,11624,2011
Azerbaiyán,2354,4.97,255,2011
Bosnia y Herzegovina,5491,40.94,1430,2011
Barbados,3760,94.39,13381,2011
Bangladés,32545,29.39,218,2011
Belgium,389536,102.8,35170,2011
Burkina Faso,2127,24.5,128,2011
Bulgaria,6285,15.2,858,2011
Bahrain,6782,31.55,5675,2011
Burundi,686,42.71,71,2011
Benin,1679,21.86,166,2011
Brunéi,283,2.13,721,2011
Bolivia,6126,30.54,592,2011
Brazil,1138874,60.63,5806,2011
Bahamas,2555,35.26,7198,2011
Bután,842,62.33,1193,2011
Botsuana,3050,27.89,1471,2011
Bielorrusia,25674,58.22,2712,2011
Belice,872,66.22,2658,2011
Canada,1086066,84.28,31628,2011
República Democrática del Congo,1483,7.81,22,2011
República Centroafricana,345,19.69,76,2011
República del Congo,3868,34.39,844,2011
Switzerland,215435,41.24,27083,2011
Costa de Marfil,12772,50.03,576,2011
Chile,20086,11.13,1167,2011
Camerún,3491,15.86,173,2011
Colombia,86126,35.78,1933,2011
Costa Rica,9068,29.51,1966,2011
Cabo Verde,1053,71.56,2188,2011
Cyprus,13877,69.9,16099,2011
Czech Republic,62576,39.4,5957,2011
Yibuti,321,25.68,376,2011
Denmark,124292,50.0,22272,2011
Dominica,247,69.68,3527,2011
República Dominicana,16300,39.11,1701,2011
Argelia,13300,8.48,362,2011
Ecuador,10560,18.61,697,2011
Estonia,1272,7.6,960,2011
Egipto,129638,72.83,1610,2011
Eritrea,2546,171.57,849,2011
Etiopía,9760,44.57,121,2011
Finland,102829,52.0,19038,2011
Fiyi,1431,50.98,1679,2011
Estados Federados de Micronesia,63,28.6,608,2011
Gabón,2803,21.43,1677,2011
Granada,575,102.78,5378,2011
Georgia,3079,27.69,685,2011
Ghana,12030,31.22,461,2011
Gambia,499,49.24,251,2011
Guinea,2621,53.85,235,2011
Guinea Ecuatorial,1100,7.17,1107,2011
Greece,356235,175.1,32133,2011
Guatemala,8099,23.77,548,2011
Guinea-Bisáu,379,45.62,254,2011
Guyana,1236,51.67,1650,2011
Hong Kong,1035,0.57,146,2011
Honduras,3136,24.65,367,2011
Croacia,28520,63.1,6670,2011
Haití,2084,22.29,210,2011
Hungría,72882,80.5,7338,2011
Indonesia,148256,23.11,613,2011
EIRE,189724,109.6,41341,2011
Israel,129254,67.19,16650,2011
India,899916,68.7,714,2011
Irak,54348,40.72,1711,2011
Irán,55092,10.62,733,2011
Iceland,10184,99.1,31867,2011
Jamaica,14678,135.94,5430,2011
Jordania,13167,56.14,1852,2011
Kenia,11938,35.69,302,2011
Kirguistán,2229,50.06,407,2011
Camboya,2738,23.74,186,2011
Kiribati,13,8.8,121,2011
Comoras,203,27.56,302,2011
San Cristóbal y Nieves,764,127.07,16246,2011
Korea,297760,31.7,5963,2011
Kuwait,5136,4.64,1582,2011
Kazajistán,14064,10.16,849,2011
Laos,2770,43.01,432,2011
Lebanon,38554,134.39,7642,2011
Santa Lucía,622,54.94,3618,2011
Liechtenstein,17,0.37,466,2011
Sri Lanka,33786,69.43,1656,2011
Liberia,382,22.52,95,2011
Lesoto,668,36.17,332,2011
Lithuania,11632,37.4,3873,2011
Luxemburgo,8201,18.5,15626,2011
Letonia,8949,46.6,4376,2011
Libia,6636,26.61,1046,2011
Marruecos,38275,48.56,1175,2011
Moldavia,1464,24.2,411,2011
Montenegro,1586,48.97,2557,2011
Madagascar,2486,29.95,119,2011
Islas Marshall,45,35.92,841,2011
Macedonia del Norte,2092,27.73,1016,2011
Malí,2237,20.14,136,2011
Myanmar,19107,49.94,386,2011
Mongolia,2442,32.65,869,2011
Mauritania,1893,38.84,562,2011
Malta,4848,68.9,11611,2011
Mauricio,4741,54.87,3787,2011
Maldivas,980,51.86,3014,2011
Malaui,1614,19.98,100,2011
México,363542,41.17,3122,2011
Malasia,112688,51.9,3877,2011
Mozambique,3588,34.16,148,2011
Namibia,2450,27.45,1152,2011
Níger,928,14.75,54,2011
Nigeria,52597,12.38,307,2011
Nicaragua,2022,28.79,337,2011
Netherlands,401579,61.2,24003,2011
Norway,98943,27.5,19845,2011
Nepal,5052,32.43,184,2011
Nauru,118,236.82,11794,2011
Nueva Zelanda,41653,34.68,9497,2011
Omán,2474,4.44,751,2011
Panamá,9207,35.91,2472,2011
Perú,28355,23.11,981,2011
Papúa Nueva Guinea,2104,16.28,290,2011
Filipinas,76462,45.43,807,2011
Pakistán,93031,56.15,525,2011
Poland,192177,54.8,5049,2011
Estado de Palestina,2113,26.29,512,2011
Palaos,43,30.59,2395,2011
Paraguay,2679,11.05,469,2011
Catar,40354,33.47,23286,2011
Rumanía,43934,32.3,2186,2011
